记录00,,,HEAD RECORD                    头记录,,,M
5,DATE OF ISSUE          签发日期,,9(8),CCYYMMDD,C,
6,NUMBERS OF ORIGINAL B/L正本提单份数,,9(2),,M,
7,PREPAID AT             预付地点,,X(35),,C,
8,PAYABLE AT            到付地点,,X(35),,C,
记录11,,VESSEL                         船舶信息,,,M,
序号,字段名,,格式,注释,标记,
1,RECORD ID          记录类型标识,,9(2),11,M,
2,VESSEL CODE       船舶呼号,,X(9),船名存在时该项为必选,O,
3,VESSEL             船名,,X(35),‘要求装运日期’为空时，该项必选,O,
4,VOYAGE            航次,,X(10),,O,
5,SHIPPING LINE CODE船舶经营人代码,,X(13),,C,
6,SHIPPING LINE      船舶经营人,,X(35),,C,
7,B/L CARRY CODE  提单承运人代码,,X(13),,C,
8,B/L CARRY     提单承运人,,X(35),,C,
9,REQUESTED SHIPMENT DATE,,9(8),"CCYYMMDD。‘船名/航次’为空时, 该项必选",O,
,                    要求装运日期,,,,,
10,TRADE CODE        航线代码,,X(10),,C,
11,TRADE              航线 ,,X(35),,C,
12,PRE. VESSEL CODE  前程运输船名代码,,X(9),,C,
13,PRE. VESSEL        前程运输船名,,X(35),,C,
14,PRE. VOYAGE       前程运输航次,,X(6),包括航向,C,
记录12,,PORTS                          地点信息,,,M,
序号,字段名,,格式,注释,标记,
1,RECORD ID             记录类型标识,,9(2),12,M,
2,PLACE CODE OF RECEIPT  收货地代码,,X(5),OOCL、HLC的订舱要求必选,O,
3,PLACE OF RECEIPT        收货地,,X(35),,C,
4,LOAD PORT CODE        装货港代码,,X(5),OOCL的订舱要求必选,O,
5,LOAD PORT              装货港,,X(35),,C,
6,DISCHARGE PORT CODE  卸货港代码,,X(5),OOCL的订舱要求必选,M,
7,DISCHARGE PORT        卸货港,,X(35),,C,
8,TRANSFER PORT CODE   中转港代码,,X(5),,C,
9,TRANSFER PORT         中转港,,X(35),,C,
10,PLACE OF DELIVERY CODE 交货地代码 ,,X(5),OOCL的订舱要求必选,O,
11,PLACE OF DELIVERY       交货地,,X(35),,C,
12,FINAL DESTINATION CODE 目的地代码,,X(5),,C,
13,FINAL DESTINATION CODE 目的地,,X(35),,C,
记录13,,OPTION PORTS                    可选港信息,,,C,
序号,             字   段   名,, 格式,   注  释,标记,
1,RECORD ID           记录类型标识,,9(2),13,M,
2,OPT. DISCH. PORT CODE 可选卸货港代码,,X(5),,M/C,
3,OPT. DISCH. PORT       可选卸货港,,X(35),,C/M,
4,OPT. PLACE OF DELIVERY CODE可选交货地代码,,X(5),,C,
5,OPT. PLACE OF DELIVERY  可选交货地,,X(70),,C,
记录14,,FREIGHT CLAUSE             运费条款,,,C,
序号,字段名,,格式,注释,标记,
1,RECORD ID            记录类型标识,,9(2),14,M,
2,FR. CLAUSE. CODE     运费条款代码,,X(3),01 or 02 or 98,C,
3,FREIGHT CLAUSE-I (1-2)    运费条款                      ,,X(40),,M,
记录15,,FREIGHT & CHARGES DETAILS     运费及费用细目,,,C,
序号,字段名,,格式,注释,标记,
1,RECORD ID            记录类型标识,,9(2),15,M,
2,FR. CH. CODE        运费及费用代码    ,,X(3),,C,
3,FR. CH. REMARK     运费及费用说明,,X(35),,C,
4,PREPAID OR COLLECT      付款方式,,X(1),P/C/F/R/E/L,M,
5,PAYABLE AT (E)  第三地付款地点代码,,X(5),,C,
6,PAYEE CODE            收款人代码,,X(13),,C,
7,QUANTITY                    数量,,9(6). 999,,C,
8,CURRENCY                    币种,,X(3),,C,
9,RATE OF FR. CH.               费率,,9(10). 999,,C,
10,UNIT OF QUANTITY        数量单位,,X(3),,C,
11,AMOUNT                      金额,,9(10). 99,,C,
记录17,,REMARKS                   其他信息,,,C,
序号,字段名,,格式,注释,标记,
1,RECORD ID         记录类型标识,,9(2),17,M,
2,REMARKS (1-5)             备注         ,,X(35),,M,
3,CURRENCY                币种,,X(3),,C,
4,CARGO AMOUNT        货物金额,,9(10). 999,,C,
5,MODE OF STUFFING     装箱方式,,X(35),自选/内装/自派车队等,C,
记录20,,SHIPPER                        发货人,,,M,
序号,字段名,,格式,注释,标记,
1,RECORD ID        记录类型标识,,9(2),20,M,
2,SHIPPER CODE       发货人代码,,X(13),,C/M,
3,SHIPPER (1-9)            发货人,,X(35),,M/C,
记录21,,CONSIGNEE                    收货人,,,M,
序号,字段名,,格式,注释,标记,
1,RECORD ID        记录类型标识,,9(2),21,M,
2,CONSIGNEE CODE    收货人代码,,X(13),,C/M,
3,CONSIGNEE (1-9)         收货人,,X(35),,M/C,
记录22,,NOTIFY PARTY                通知人,,,M,
序号,字段名,,格式,注释,标记,
1,RECORD ID        记录类型标识,,9(2),22,M,
2,NOTIFY CODE        通知人代码,,X(13),可以有9个通知人,C/M,
3,NOTIFY (1-9)              通知人,,X(35),,M/C,
记录23,,ALSO NOTIFY PARTY               第三方通知人APL订舱专用,,,C,
序号,字段名,,格式,注释,标记,
1,RECORD ID        记录类型标识,,9(2),23,M,
2,NOTIFY CODE        通知人代码,,X(13),,C/M,
3,ALSONOTIFY(1-6)   第三方通知人             ,,X(35),,M/C,
记录41,,CARGO OF BOOKING            订舱货物,,,M,
序号,字段名,,格式,注释,标记,
1,RECORD-ID          记录类型标识,,9(2),41,M,
2,CARGO SEQUENCE NO.   货物序号,,9(3),,M,
3,CARGO CODE            货类代码,,X(8),海关HS码,C,
4,CARGO ID               货物标识,,X(1),S/R/D/O,M,
5,NUMBERS OF PKGS-1第一层包装件数,,9(6),INSIDE PACKAGE,M,
6,CODE OF PKGS-1   第一层包装类型,,X(2),,M,
7,PACKAGES DES-1  第一层包装说明,,X(35),,M,
8,CARGO GROSS WT-1第一层包装皮重,,9(9). 9,单位:千克,M,
9,CARGO MEASUREMENT-1第一层包装尺码,,9(5). 99999,单位:立方米,M,
10,NUMBERS OF PACKAGES-2第二层包装件数,,9(6),INSIDE  INSIDE ,C,
,,,,PACKAGE,,
11,CODE OF PKGS-2   第二层包装类型,,X(2),,C,
12,PACKAGES DES.-2  第二层包装说明,,X(35),,C,
13,CARGO GROSS WT-2第二层包装皮重,,9(9). 9,单位:千克,C,
14,CARGO MEASUREMENT-2第二层包装尺码,,9(5). 999,单位:立方米,C,
15,CARGO GROSS WEIGHT   货毛重,,9(10).99,单位:千克,M,
16,CARGO NET WEIGHT      货净重,,9(10). 99,单位:千克,C,
17,QUARANTINE CODING 检疫代码,,X(1),,C,
18,QUARANTINE CODING 检疫名称,,X(35),,C,
记录43,,"DANGEROUS , REEFER & OOG       危险品,冷藏和超标信息",,,C,
序号,字段名,,格式,注释,标记,
1,RECORD ID            记录类型标识,,9(2),43,M,
2,CLASS                  危险品分类,,X(5),货物为危险品时为必选,O,
3,PAGE                   危险品页号,,X(7),,C,
4,UNDG NO.         联合国危险品编号,,9(4),货物为危险品时为必选,O,
5,LABEL                  危险品标签,,X(32),,C,
6,FLASH POINT         危险货物闪点,,X(5),摄氏,C,
7,EMS NO.      船运危险品应急措施号,,X(6),,C,
8,MFAG NO.           医疗急救指南号     ,,X(4),,C,
9,MPT(MARINE POLLUTANT) 海运污染,,X(1),Y=有污染 N=无污染,C,
10,EMERGENCY CONTACT    应急联系,,X(35),,C,
11,REEFER VENTILATION FLUX    冷藏通风量,,X(3),注释：仅当冷藏箱存在时该项为必选，否则为可选,O,
,,,,APL为必选,,
12,TEMPERATURE ID     温度计量单位,,X(1),C=摄氏  F=华氏,C,
13,TEMPERATURE SETTING   设置温度,,X(5),见注,C,
14,MIN. TEMPERATURE   冷藏最低温度,,X(5),见注,C,
15,MAX. TEMPERATURE  冷藏最高温度,,X(5),见注,C,
16,OVER LENGTH FRONT         前超,,9(4),厘米,C,
17,OVER LENGTH BACK          后超,,9(4),厘米,C,
18,OVER WIDTH LEFT            左超,,9(4),厘米,C,
19,OVER WIDTH RIGHT           右超,,9(4),厘米,C,
20,OVER HEIGHT                 超高,,9(4),厘米,C,
记录44,,MARKS & NOS.                    唛头,,,M,
序号,字段名,,格式,注释,标记,
1,RECORD ID            记录类型标识,,9(2),44,M,
2,MARKS (1-10)                   唛头,,X(35),,M,
记录47,,CARGO DESCRIPTION              货物描述,,,M,
序号,字段名,,格式,注释,标记,
1,RECORD ID            记录类型标识,,9(2),47,M,
2,CARGO DESCRIPTION (1-5)  货物描述,,X(70),,M,
记录48,,CONTAINER OF BOOKING         订舱预配箱,,,M,
序号,字段名,,格式,注释,标记,
1,RECORD ID         记录类型标识,,9(2),48,M,
2,CTN. SIZE & TYPE 集装箱尺寸类型,,X(4),,M,
3,CTN. NUMBERS       集装箱箱数,,9(6),,M,
4,CTN. STATUS         集装箱状态,,X(1),F=整箱 L=拼箱,M,
5,MASTER LCL NO.          主拼号,,X(20),,C,
6,MODE OF STUFFING 装箱方式,,X(35),自选/内装/自派车队等,C,
7,VANNING DEPOT   装箱地点代码,,X(13),,C,
8,VANNING DEPOT   装箱地点说明,,X(35),,C,
9,CONTAINER SOC.    货主箱标志,,X(1),Y=货主箱N=非货主箱,M,
记录51,,CONTAINER DETAIL             已知箱号的集装箱细目,,,C,
序号,字段名,,格式,注释,标记,
1,RECORD-ID            记录类型标识,,9(2),51,M,
2,CTN. NO.                      箱号,,X(20),,M,
3,CTN. TYPE & SIZE          箱型尺寸,,X(4),,M,
4,SEAL NO.                    铅封号,,X(10),,M,
5,CTN. NUMBERS OF PACKAGES,,9(6),,M,
,                       箱内货物件数,,,,,
6,CARGO NET WEIGHT       箱内货重,,9(9). 99,千克,M,
7,CARGO TARE WEIGHT        箱皮重,,9(9). 9,千克,C,
8,CARGO MEASUREMENT 箱内货物尺码,,9(5).999,单位:立方米,C,
,,,,（inttra订舱要求）,,
9,CARGO DESCRIPTION（1-5）  箱内货物品名,,X(70),,C,
记录99,,TRAILER RECORD              尾记录,,,M,
序号,字段名,,格式,注释,标记,
1,RECORD ID           记录类型标识,,9(2),99,M,
2,RECORD TOTAL OF FILE   记录总数,,9(6),包括:头、尾记录,M,
